,recon_mean_5,mean_1,mean_4,recon_mean_3,mean_2,recon_mean_6,mean_5,cidx_5,cidx_1,mean_3,cidx_0,mean_6,recon_mean_0,cidx_2,recon_mean_1,cidx_6,mean_0,cidx_4,cidx_3,recon_mean_4,recon_mean_2
0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,5.0,4.0,5.0,1.0,5.0,1.0,3.0,1.0,3.0
1,2.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0
2,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,1.0,5.0,2.0,2.0,2.0,3.0
3,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0
4,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0
5,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,5.0,1.0,4.0,1.0,2.0,1.0,3.0
6,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,5.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0
7,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0,2.0,2.0,1.0,3.0
8,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,3.0
9,2.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,5.0,2.0,2.0,2.0,3.0
