mean_0,mean_5,mean_2,recon_mean_0,recon_mean_1,mean_6,cidx_6,recon_mean_4,cidx_5,cidx_1,mean_3,mean_4,cidx_2,cidx_0,recon_mean_3,recon_mean_2,recon_mean_5,mean_1,cidx_3,recon_mean_6,cidx_4
2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,4.0,5.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0
5.0,1.0,3.0,5.0,5.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0
3.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0
4.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0
5.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,5.0,3.0,1.0,2.0
5.0,1.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0
5.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0
5.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0
4.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0
5.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0
