cidx_6,cidx_4,recon_mean_2,mean_3,mean_1,mean_0,cidx_5,cidx_0,mean_2,mean_6,mean_5,mean_4,cidx_3,cidx_1,recon_mean_1,recon_mean_0,recon_mean_4,cidx_2,recon_mean_6,recon_mean_5,recon_mean_3
1.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0
1.0,2.0,3.0,2.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,3.0
1.0,1.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0
1.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,3.0
1.0,1.0,3.0,3.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,3.0
1.0,2.0,3.0,3.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0
1.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0
1.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0
1.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0
1.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0
